!f:$UNITGRAPHS/dxcylinder.f
\Title ic143.0.cylinder.DT.trl 516 to 857 Binoc
#Preperiod 0.050, rate 0.00 +- 0.000  n = 28
Delay = 0
\xy-e
-4.0049 0.42 5 0.42
-2.0006 0.35 3 0.35
-0.5000 3.41 21 0.42
-0.4000 3.79 10 0.57
-0.3000 3.16 15 0.42
-0.2000 4.34 8 1.02
-0.1000 1.97 16 0.33
0.0000 2.67 13 0.57
0.1000 2.76 16 0.60
0.2000 3.16 8 0.63
0.3000 7.23 15 1.23
0.4000 3.88 14 0.58
0.5000 7.43 16 1.07
2.0006 0.53 4 0.30
4.0049 0.53 4 0.30
\label i=2 te=Blank \2_
\xy-e--
0.0000 0.04 27 0.04
\yax 0 10
\xax -4.00 4.00
\label i=1 te=n=3 - 27 
